Date,Forecast_ARIMA,ARIMA_Lower_CI,ARIMA_Upper_CI,Forecast_HoltWinters,HoltWinters_Lower_CI,HoltWinters_Upper_CI,Primary_Forecast,Primary_Lower_CI,Primary_Upper_CI
2017-12-31,2752.05,-1489.1,6993.21,3325.44,0.0,7428.69,3325.44,0.0,7428.69
2018-01-01,2843.71,-1411.87,7099.28,3252.96,0.0,7356.2,3252.96,0.0,7356.2
2018-01-02,2847.83,-1411.34,7106.99,1659.54,0.0,5762.79,1659.54,0.0,5762.79
2018-01-03,2848.01,-1414.43,7110.45,976.08,0.0,5079.33,976.08,0.0,5079.33
2018-01-04,2848.02,-1417.68,7113.72,3264.27,0.0,7367.52,3264.27,0.0,7367.52
2018-01-05,2848.02,-1420.94,7116.98,3806.66,0.0,7909.91,3806.66,0.0,7909.91
2018-01-06,2848.02,-1424.19,7120.24,3188.27,0.0,7291.51,3188.27,0.0,7291.51
2018-01-07,2848.02,-1427.45,7123.49,3335.85,0.0,7439.09,3335.85,0.0,7439.09
2018-01-08,2848.02,-1430.7,7126.74,3263.36,0.0,7366.61,3263.36,0.0,7366.61
2018-01-09,2848.02,-1433.94,7129.99,1669.94,0.0,5773.19,1669.94,0.0,5773.19
2018-01-10,2848.02,-1437.19,7133.23,986.48,0.0,5089.73,986.48,0.0,5089.73
2018-01-11,2848.02,-1440.43,7136.47,3274.67,0.0,7377.92,3274.67,0.0,7377.92
2018-01-12,2848.02,-1443.67,7139.71,3817.07,0.0,7920.31,3817.07,0.0,7920.31
2018-01-13,2848.02,-1446.91,7142.95,3198.67,0.0,7301.92,3198.67,0.0,7301.92
2018-01-14,2848.02,-1450.14,7146.19,3346.25,0.0,7449.49,3346.25,0.0,7449.49
2018-01-15,2848.02,-1453.38,7149.42,3273.76,0.0,7377.01,3273.76,0.0,7377.01
2018-01-16,2848.02,-1456.61,7152.65,1680.35,0.0,5783.59,1680.35,0.0,5783.59
2018-01-17,2848.02,-1459.83,7155.88,996.88,0.0,5100.13,996.88,0.0,5100.13
2018-01-18,2848.02,-1463.06,7159.1,3285.08,0.0,7388.32,3285.08,0.0,7388.32
2018-01-19,2848.02,-1466.28,7162.32,3827.47,0.0,7930.71,3827.47,0.0,7930.71
2018-01-20,2848.02,-1469.5,7165.54,3209.07,0.0,7312.32,3209.07,0.0,7312.32
2018-01-21,2848.02,-1472.72,7168.76,3356.65,0.0,7459.9,3356.65,0.0,7459.9
2018-01-22,2848.02,-1475.94,7171.98,3284.16,0.0,7387.41,3284.16,0.0,7387.41
2018-01-23,2848.02,-1479.15,7175.19,1690.75,0.0,5793.99,1690.75,0.0,5793.99
2018-01-24,2848.02,-1482.36,7178.4,1007.29,0.0,5110.53,1007.29,0.0,5110.53
2018-01-25,2848.02,-1485.57,7181.61,3295.48,0.0,7398.73,3295.48,0.0,7398.73
2018-01-26,2848.02,-1488.78,7184.82,3837.87,0.0,7941.12,3837.87,0.0,7941.12
2018-01-27,2848.02,-1491.98,7188.02,3219.48,0.0,7322.72,3219.48,0.0,7322.72
2018-01-28,2848.02,-1495.18,7191.22,3367.05,0.0,7470.3,3367.05,0.0,7470.3
2018-01-29,2848.02,-1498.38,7194.42,3294.57,0.0,7397.81,3294.57,0.0,7397.81
